,Astrocyte,Endothelial,Ependymal,Excitatory,Inhibitory,Microglia,Mural,OD Immature,OD Mature
spot1,0.10123530714650558,0.0428466649785082,0.035057114531622816,0.3179104189823406,0.3851652193635047,0.04553271741790634,0.022743625542014465,0.03598017883023153,0.013528753207365768
spot2,0.17330756075449733,0.04906623086483077,0.05688342173215876,0.2923633279842288,0.20891693986574164,0.059992840934214094,0.027746038540995145,0.11189082474251859,0.019832814580814838
spot3,0.14786162267432393,0.03948648492646145,0.048277260793186665,0.3487612472920526,0.24953493511197428,0.04567042833833555,0.02420689290933152,0.07386926782340508,0.022331860130928957
spot4,0.19171148881643335,0.09089699490619056,0.05764001650182199,0.24590537905635165,0.2093774314959911,0.06029949126742436,0.021964602002686153,0.09831161102067154,0.023892984932429404
spot5,0.21755746604398377,0.05050780813685382,0.05624268660531288,0.249665572595151,0.18323823933758365,0.06781051387218205,0.023812990230319554,0.11422717390677985,0.03693754927183339
spot6,0.14782617881806792,0.04789945508982099,0.059367266753157365,0.3209271188481329,0.2370343552476406,0.053288890237368575,0.025282515922420486,0.0897776360565223,0.018596583026868802
spot7,0.22453713042161993,0.03444515769695405,0.06611468024271877,0.23325274772567228,0.1983723433741132,0.09135480144738876,0.018132155947730197,0.07684115429746122,0.05694982884634165
spot8,0.16154205024666138,0.10660392392355396,0.04805641046282154,0.2561623197837719,0.24660064913948793,0.05297468875316234,0.02747147593323739,0.07594410816014747,0.024644373597156075
spot9,0.16391240583546612,0.07134805192590654,0.04189830585658798,0.3596430172266245,0.23333824876356105,0.045157263946160375,0.021248427183304244,0.04606231297991684,0.017391966282472394
spot10,0.16617786250544636,0.04854891411292514,0.05201873688913656,0.26138223302860164,0.2625298717953915,0.09748883093431056,0.022637213019296016,0.060592016234869095,0.028624321480023092
spot11,0.15499540944068801,0.049485918627897946,0.05418020350693506,0.27106517829508575,0.27106134607502713,0.056383825578460084,0.04192165754463205,0.083133816566324,0.01777264436494996
spot12,0.13794299804994492,0.04838298852569467,0.04805315379595312,0.31627844820298,0.308372183495794,0.04963592131796986,0.0211959363137697,0.050941276116966715,0.01919709418092691
spot13,0.16988600698684814,0.04636514638213911,0.053553706471441996,0.27104754273269754,0.2961478832700012,0.0538310119698995,0.022450549635082518,0.07184110365441734,0.014877048897472708
spot14,0.17442708015899158,0.06107101287526855,0.059697524589461926,0.2797620639754612,0.22145476900880554,0.04967455939194878,0.03757489432538974,0.09731752630802323,0.01902056936664961
spot15,0.1522868758705841,0.0750841859277705,0.06151810414283493,0.2661719893337327,0.22531308350197163,0.06436743547316463,0.024957544308969865,0.10166610254255423,0.028634678898417407
spot16,0.17606854056635787,0.05098944877518517,0.05431177833877282,0.17861776791798467,0.17896689027017867,0.09122669813966804,0.02287203146179712,0.1398487872958305,0.10709805723422516
spot17,0.2024875073684115,0.10760016621134391,0.06272869689198275,0.20243316926853963,0.20188021282261492,0.06146098696471997,0.019985867171323925,0.06721310778170031,0.07421028551936312
spot18,0.17824990169856805,0.1258202217134159,0.0672896442566996,0.20131560038045027,0.19520010108281738,0.07964944701875962,0.049569468552441015,0.08449790388451175,0.01840771141233639
spot19,0.11305278502436823,0.06779483770043897,0.03288731116421825,0.1149778839330322,0.09173663073624508,0.11472963716915106,0.018610513838864286,0.08716386954506908,0.35904653088861277
spot20,0.14884910797251305,0.08249586594223149,0.0346214130026699,0.07922258559320632,0.0797248484105076,0.09885673070577673,0.016270748195564746,0.04803445513281683,0.4119242450447133
spot21,0.1967058382319903,0.17874528320322838,0.047819106686550567,0.12470013019126862,0.11143017323554955,0.06387960849069559,0.022157021515158106,0.058047858241800934,0.19651498020375804
spot22,0.19794266048929068,0.19003054149042045,0.049508650518792434,0.0900620925648914,0.1160016413566966,0.09994115843001393,0.020378353297456218,0.08893139419774757,0.1472035076546906
spot23,0.21152615328272753,0.13369498665077814,0.06444570463239256,0.22076327813535324,0.17804530323741566,0.08904449997091476,0.024468678243583102,0.06173391152057731,0.016277484326257703
spot24,0.15445270604091843,0.032582247730889614,0.05717381245225841,0.29327728336585923,0.2689081875850584,0.050424781573255896,0.027848504750598656,0.09928676659083563,0.01604570991032569
spot25,0.15810974168108707,0.08717493116877043,0.06542780753328131,0.2693568569553626,0.2180468543905224,0.07057461083802029,0.033005970269033534,0.0810291988600548,0.017274028303867525
spot26,0.21993773077659895,0.039584155445309625,0.0650819391309484,0.2409064258122612,0.21700835095188975,0.10880547767932215,0.022345977379821174,0.059459235652802346,0.026870707171046417
spot27,0.16945867704924547,0.0872263170721533,0.05271945994256973,0.261889889064883,0.25707790440698225,0.05870376683082936,0.020652993560691106,0.05838064161331363,0.03389035045933211
spot28,0.1913683880714788,0.03456299889924751,0.05717169088882548,0.2931652394017842,0.25131574517782423,0.04710913091881142,0.022838972381193954,0.0836869626901109,0.01878087157072353
spot29,0.1942669074213228,0.026182334854540187,0.05662817621079122,0.2555239481186515,0.2707826438805581,0.05114223060495044,0.022060099109600453,0.10640605652556549,0.01700760327401983
spot30,0.17128690058912074,0.061413875250425874,0.053750775095962336,0.255976787745396,0.2637633471275681,0.06732743911254835,0.0234700477818698,0.08411653693611419,0.01889429036099472
spot31,0.16796245740475305,0.060991553277117534,0.05102504517948335,0.2805145244770674,0.25694082147873276,0.0511663887618489,0.02680312022264049,0.07713893384523288,0.027457155353123645
spot32,0.17477012951785947,0.07375582858899306,0.044485404002016955,0.2913845947144159,0.26647039364319447,0.04748599101975449,0.029100178863217318,0.054348037885196376,0.018199441765351976
spot33,0.2750128432337195,0.06416831129039369,0.058936831592099496,0.20457167608449467,0.2286777188179578,0.05068370855998388,0.019851875716158388,0.07523680549027123,0.02286022921492128
spot34,0.1889051880835434,0.06008024587418823,0.048671325134397966,0.24358524829450057,0.291536426788105,0.06427771549704517,0.019532241520367238,0.06874369914196685,0.014667909665885544
spot35,0.15494661047924477,0.05504369943260675,0.05255572148102161,0.32977392295174957,0.22891981594331376,0.05950650862505501,0.021616384468867773,0.07726161485622103,0.020375721761919752
spot36,0.11375342907130026,0.03564931036368974,0.05096377517685471,0.4147454185921928,0.2515333375102858,0.044710506949591174,0.01566828682150187,0.060441393968429485,0.012534541546154123
spot37,0.10811020842072454,0.05146212551483825,0.04487551308880695,0.3975550258540309,0.2564875292458143,0.05247081957496269,0.026171322286587227,0.04595910582513172,0.016908350189103354
spot38,0.21157626086921275,0.039926952973962995,0.0573176419761182,0.25116836778339435,0.2188116317471094,0.06371931189718111,0.023325671711288732,0.11566682620711896,0.01848733483461355
spot39,0.17636902951196934,0.05672049820678497,0.045589377675545224,0.32299686513648845,0.2594874452187177,0.05875463606231904,0.019362482386338774,0.04413370881054395,0.0165859569912925
spot40,0.1533241618550192,0.1305443152450763,0.052503819269644945,0.2662263358478879,0.23420598140637963,0.05225481399068804,0.028194326403206873,0.06719819320986237,0.015548052772234734
spot41,0.24470280788048693,0.04244487128382881,0.05791158475123526,0.30144845840321993,0.21746247169885774,0.04271723655387733,0.01824017059360713,0.05820537223559311,0.016867026599293698
spot42,0.15894994431988693,0.043263438299689636,0.049658249829003145,0.27874743322144124,0.227859457577386,0.06566121336603821,0.06433711414226853,0.08642554171971932,0.025097607524566988
spot43,0.13926823663058346,0.06572088684888674,0.05321704007305509,0.3224990321610621,0.2515273507283082,0.04766069533039706,0.04381810060814244,0.054909206952125936,0.021379450667439095
spot44,0.19259236686547546,0.10254733724480758,0.06332390033511975,0.24082449472921302,0.2095230640065922,0.07074602773920972,0.028063757697122858,0.06532847206189335,0.027050579320565992
spot45,0.20049425710645696,0.0392133661577971,0.06149360960402263,0.2966007577895868,0.24879104127836393,0.04814671542851942,0.0259392588011443,0.06276612141791016,0.016554872416198723
spot46,0.12485897502049847,0.04890232785156167,0.0645860557760102,0.32622415644211405,0.271976294666879,0.05470811351376124,0.025534753986118413,0.06592781843210557,0.017281504310951403
spot47,0.128860891898512,0.03248464812374463,0.049666765640872815,0.2908517249091319,0.2944767864904743,0.05124501726853037,0.023943529257471594,0.11258697106823265,0.015883665343029617
spot48,0.1390818003980755,0.0484405393791055,0.06491219540078924,0.27387766817921355,0.1847953846165153,0.08216240175085013,0.03581021518692835,0.05826867204114278,0.11265112304737966
spot49,0.12179391806991761,0.04498585820700329,0.0479128459655682,0.2787518744356366,0.19875502949704343,0.08699604229852384,0.024352743023908555,0.11989331193941805,0.07655837656298037
spot50,0.25254419192082783,0.034331459773896705,0.06695074691844131,0.14486620972062758,0.1284009030654824,0.07811024532910173,0.02967050426942892,0.05216470044774234,0.21296103855445137
spot51,0.17955249412390129,0.03852463523294489,0.06585351760537389,0.29028951556310173,0.2548023957851077,0.06874409334987694,0.021372152470254573,0.05942738093210787,0.021433814937331024
spot52,0.14347327561334583,0.040151944384009916,0.053829626751382614,0.31619115585166085,0.2749766658276517,0.050613015211857564,0.03549349699724655,0.07021411462752702,0.015056704735318022
spot53,0.15651741771828526,0.03473230726462198,0.05584277412791336,0.30730891596369575,0.2696072671493343,0.05756576886747799,0.023436653880533755,0.07748526838083308,0.01750362664730451
spot54,0.19951566480529387,0.04005136884966651,0.07098925035454634,0.24601775309890833,0.25392082825227347,0.054004873487399824,0.026419909921913325,0.09093138216637335,0.018148969063624985
spot55,0.1788410922282027,0.04447441140952502,0.06937442803895043,0.2732300132053782,0.22790738474186092,0.06000574922291161,0.029545144089897567,0.09572359624614929,0.020898180817124266
spot56,0.17855015194589666,0.035856160485594576,0.06483532093360722,0.29725233346768015,0.20815802087046903,0.06952501020387256,0.06560952903632428,0.064654582198169,0.015558890858386647
spot57,0.17582451785235778,0.04897201798931076,0.06685450965293613,0.2814307216718058,0.27090007145853934,0.050619355714889076,0.02417967959621739,0.06506870028397878,0.01615042577996487
spot58,0.12050943856831292,0.09086466551596449,0.05492707945807705,0.24220790640858642,0.2028063070359627,0.044530813586161865,0.098729642861785,0.12575771201909125,0.019666434546058178
spot59,0.16730979326005255,0.039771837142211525,0.056173384935248434,0.3030893354130869,0.2302923540367032,0.06586788942031352,0.028561900966707576,0.09289713414030404,0.01603637068537227
spot60,0.19211311578747425,0.07204824045408433,0.08414500906515528,0.21728734263030672,0.20421259523520854,0.060719122472967325,0.07616347026765101,0.06905618280008728,0.02425492128706532
spot61,0.19585041401984413,0.050758479018472684,0.06751615792377202,0.2673466903569525,0.23544975819462105,0.05630840042422286,0.023491565270052434,0.08656967685184537,0.01670885794021687
spot62,0.21020566184627765,0.06384072770674448,0.0732436337188312,0.24015113626048257,0.22129200154633472,0.06392376345935519,0.03027531791415971,0.07471668848041407,0.022351069067400458
spot63,0.19465710410971854,0.05771496045640881,0.0752704220609257,0.2314412786574413,0.222147076354833,0.06305721898872275,0.028565452146297486,0.10321006553221747,0.023936421693435083
spot64,0.12811641434829094,0.037441465491006416,0.06784050696431276,0.3145827451534754,0.2917002712076786,0.05704453035100606,0.025012089706699586,0.0674077789695023,0.010854197808027714
spot65,0.17028178213432565,0.06029503046130894,0.0578040801379453,0.29024621258249383,0.21708883631480794,0.07635143642636587,0.030683423191398503,0.07676603138235151,0.020483167369002298
spot66,0.17302999171924266,0.0478482105571691,0.06867863492530801,0.2410961982591556,0.24328483631105313,0.06503964780175586,0.027502968457950677,0.11694759925660568,0.01657191271175933
spot67,0.15500684928104164,0.07610564491370626,0.05311544926948884,0.27485356573246333,0.2788225768773343,0.060605239391056456,0.03152576079719746,0.05644593803907722,0.013518975698634462
spot68,0.23234203657202324,0.08514321305293458,0.07628108857605864,0.19295538040519916,0.22742120148830983,0.0690354011333299,0.028110927780828857,0.06830721141317314,0.02040353957814264
spot69,0.17795728008643788,0.038737013552552095,0.06872980411515839,0.2513257486938974,0.2926957844688004,0.06024101479727331,0.025814256230239665,0.06960526092441494,0.014893837131225992
spot70,0.1320850865674801,0.06735567613589086,0.04440456530122656,0.25810767512261434,0.35548758074747994,0.05118655067090017,0.03208903980652912,0.04574852613801523,0.013535299509863706
spot71,0.15272720708702878,0.0443344482705829,0.0664923616086184,0.2507668240180042,0.27956592300882216,0.07338320923219965,0.047085523431854896,0.0683630099293394,0.017281493413549526
spot72,0.18699649817140873,0.07797122582532111,0.06467916988386811,0.22682705798033223,0.22376099449423845,0.0824611788084047,0.04476339433697339,0.06981510431753392,0.022725376181919235
spot73,0.17587335187911443,0.05508346045327094,0.07139559249034166,0.23585296276232184,0.28564683465546153,0.05437898966816988,0.020014305846671694,0.08387447127387264,0.017880030970775434
spot74,0.17812724825522347,0.06671949368123502,0.06721954517609507,0.24319371305931253,0.21255545828761643,0.051299179880895815,0.022389768859999493,0.12887459985227295,0.02962099294734923
spot75,0.2493322752311851,0.046620253451496,0.060851463972486385,0.12781849793648412,0.14432181640676534,0.0775549520595782,0.01841053393284153,0.1276980176880368,0.1473921893211267
spot76,0.18444681212804323,0.18809118804773794,0.04646617253523291,0.17496648895406114,0.12885137829626261,0.0531329143427187,0.027789802216538883,0.09490662007931805,0.10134862340008645
spot77,0.18710137958494574,0.03483652296563601,0.07030513088628479,0.31348790667733284,0.23840922445253102,0.04811881275626759,0.022694643995938943,0.07126931326867467,0.013777065412388502
spot78,0.19216788951158356,0.08092558417520707,0.05990115820742434,0.24418128257523533,0.2339652884832215,0.057206464788330406,0.0316669766675641,0.06408228735693085,0.03590306823450279
spot79,0.18028962072880753,0.04752072028244957,0.060144679623216575,0.3062317904610071,0.2260012352795349,0.05477784464098726,0.022595357920717558,0.08106039305555529,0.021378358007724155
spot80,0.17524112623267565,0.04639146077405725,0.06346639204629317,0.29111321898460557,0.21062597417654794,0.05404385200624511,0.027407902991409543,0.10532756796078373,0.026382504827382018
spot81,0.1660604099149628,0.061257623065371906,0.056346016125751276,0.3069096258831184,0.20367164845692934,0.05984659937563624,0.026425757906054833,0.0799527051693029,0.039529614102872285
spot82,0.15171306049666466,0.042253909738542365,0.0577313369961923,0.2958030290008913,0.2075317830907211,0.07456310780553745,0.04144833790083152,0.11065247873564321,0.01830295623497622
spot83,0.22076894192159674,0.06787739672910234,0.06488434559110373,0.2570968390861032,0.2308045135849656,0.0537071895027055,0.02906088421163929,0.06021094109690381,0.015588948275879772
spot84,0.17120467808801257,0.06053020694167987,0.08402292657675454,0.2501080435281786,0.191803725352361,0.06932463884910152,0.08574043162667674,0.06777469552963203,0.019490653507603203
spot85,0.23177819426980031,0.03807648437184821,0.07487469786600895,0.22950221636306326,0.18711467572277585,0.0587864920255481,0.05332206586113312,0.10549046823298384,0.02105470528683838
spot86,0.16211096282228235,0.05786574642251772,0.0664833368518568,0.301019017213749,0.2149704431149065,0.047716570071951785,0.054214310598874806,0.07884790557782233,0.016771707326038648
spot87,0.16633971876220482,0.08727246607593897,0.05781135322242219,0.2777689717433245,0.2056638523964658,0.0783788390203877,0.019151405160590933,0.09012484906981741,0.017488544548847736
spot88,0.19935557953752067,0.0764017610165778,0.06512829202837597,0.1981148408008868,0.18459307974677908,0.05966168020116749,0.08229942610194645,0.09278854850858659,0.041656792058159156
spot89,0.15203357009729984,0.05830823544341778,0.06227409454041662,0.30168499463590703,0.23536234339436726,0.049200658259623754,0.025055248756139847,0.09956464121974272,0.01651621365308501
spot90,0.16242493661326116,0.0666446465179109,0.06105998822591347,0.27618887074547377,0.2228439054083585,0.05218504565247588,0.07343124597618186,0.059604842304461156,0.025616518555963197
spot91,0.13743354703886027,0.07255413964976985,0.05501751891884962,0.263425454217052,0.32827135024298865,0.05274100206666483,0.020056191542726844,0.055445999901048884,0.015054796422039097
spot92,0.1775284426097126,0.036950137223815196,0.06399821360959106,0.2638082315072891,0.29157028721578754,0.05604469362293711,0.030130538053724946,0.06487980664811195,0.01508964950903038
spot93,0.14257212114908455,0.052107382732491866,0.056781649177152706,0.2722449595658705,0.3159047077982753,0.04857591630444103,0.038048596184358824,0.05477404304470363,0.018990624043621653
spot94,0.1963506174611955,0.04075646586575145,0.06457761680360116,0.27535818330290945,0.25376893829791286,0.06785384159165322,0.025662627893944856,0.05666734786267245,0.019004360920358985
spot95,0.14660449338027784,0.05044220036419708,0.056387885338089305,0.24308155918282368,0.3387606776431528,0.05543398075815652,0.03352012187583789,0.05846772261513319,0.017301358842331548
spot96,0.142461457151702,0.02989501536346958,0.05699365848338535,0.3703910154423548,0.26237644671003113,0.04894281525178967,0.020572440928909294,0.05608364001257942,0.012283510655778745
spot97,0.14642865345185302,0.04125248263696623,0.051560905909098995,0.29900521841458155,0.31259841920008713,0.04939929362085388,0.019947721938593944,0.06273794234591856,0.01706936248204659
spot98,0.17104872569120655,0.0780287672401723,0.05550125115211896,0.2802319601076262,0.25630179331753666,0.05361504313592229,0.039157521293941726,0.05144217231724322,0.014672765744232137
spot99,0.16426855966583662,0.03972710971136695,0.0593553575988084,0.3134411345876071,0.2515564842737348,0.051543670940232336,0.02501579931214647,0.0796437902505948,0.015448093659672734
spot100,0.16037626942322358,0.057403603847550014,0.052962589288692685,0.288720221485304,0.27049978027833876,0.05201477239665773,0.02388532470632244,0.07774663093115194,0.016390807642758798
spot101,0.15416521214597945,0.08227926859286848,0.05497746727227988,0.28710419302251433,0.2421701339549136,0.05545303293419869,0.03657600895762664,0.07230035352429413,0.01497432959532466
spot102,0.1628269528400072,0.07291479808176143,0.057213496873290866,0.31066243534971344,0.2318546528475411,0.057951644501480735,0.026294885123701026,0.06441589785593645,0.01586523652656772
spot103,0.166003591396365,0.038507593972512674,0.062241962689463824,0.313300052211897,0.26111105299106835,0.056527068671265376,0.025522254751269565,0.05983941190425246,0.016947011411905726
spot104,0.1719782481811432,0.08384559498206295,0.06712920073748294,0.23287152183185061,0.22620316126545253,0.05488876006926517,0.025953523960641767,0.11699256273583139,0.02013742623626943
spot105,0.14861606215880377,0.059758590018017366,0.060391658154787115,0.28052699251738794,0.24740033574450052,0.07619636778574002,0.04989164703677718,0.05872542075008853,0.018492925833897538
spot106,0.1695791856829116,0.03529344719926023,0.05951662571221879,0.2949973813426349,0.2802465804513393,0.05315192667306407,0.02304497386785689,0.06781517110444658,0.016354707966267513
spot107,0.1579636719525269,0.03292456142900677,0.07400105612319485,0.27857035779927874,0.28069102029601833,0.055993032607373094,0.02717631222337991,0.07923628938166227,0.013443698187559075
spot108,0.1884776584387558,0.044685705421898245,0.06913512276113272,0.2620479937821349,0.23798713593144713,0.058024854575001575,0.03159515490846459,0.09034313010852028,0.01770324407264476
spot109,0.16707783004822988,0.0482500765296684,0.07243846797788596,0.26870287451981856,0.2610248498922816,0.05577160408484088,0.042624694443237125,0.06404738870833739,0.02006221379570018
spot110,0.1928486735607205,0.06537356116962487,0.11042088174897789,0.19611781115596627,0.21820073028066544,0.05476012610962718,0.07120357904373038,0.06664978682096316,0.02442485010972427
spot111,0.14711091933578926,0.026297890102644658,0.041191510265786956,0.09718852010415499,0.09314919384890716,0.08926331000252793,0.024705496940331483,0.03551366535795218,0.4455794940419055
spot112,0.05915466622422263,0.06606035417120823,0.0402907024594692,0.06672086433475088,0.05351237996838271,0.07156343406155494,0.05635031655371806,0.034638147209682835,0.5517091350170105
spot113,0.1471579385436983,0.037496396087654156,0.02864764842881851,0.05499300596245825,0.05741568060417799,0.06936921981366637,0.06667796913943543,0.02270037091868987,0.5155417705014012
spot114,0.060578943203338384,0.08293270540542566,0.027283971142334454,0.05654730625062318,0.04754123901990143,0.07049566474203894,0.015707522066147814,0.013349770012754015,0.6255628781574363
spot115,0.19705251819506336,0.07586322495194799,0.11178153362486147,0.19495304060210222,0.19176623391188333,0.06274149733823103,0.045769460962778466,0.09578713675877998,0.024285353654352238
spot116,0.19814659423498057,0.10519513151548936,0.13423216082221684,0.13982923684045961,0.17332386465996577,0.07008074811717037,0.030349796914160395,0.09208789181941164,0.056754575076145355
spot117,0.18120464931153063,0.045695552786387234,0.0782387248823629,0.23703271183352248,0.19561535822876952,0.06068295793667893,0.024206902866611597,0.1197658246808108,0.057557317473325875
spot118,0.2337756303884714,0.10139991913154515,0.13081452799731916,0.1416609359608729,0.18492862288600476,0.05614427225551485,0.022439368244852688,0.06472212732143678,0.06411459581398236
spot119,0.21095737552524368,0.05915240258863934,0.14045135778680212,0.18987810007814898,0.17114943527055385,0.06020386775927903,0.025567303900351238,0.10997099397133028,0.0326691631196515
spot120,0.19804181355010558,0.06614808553912145,0.09623434203256528,0.2191790173260073,0.2213048816056645,0.06446298583741472,0.03719335895424904,0.07171588057661722,0.025719634578254845
spot121,0.17442772381541982,0.04435070067099092,0.10380064338576894,0.2628548691893987,0.23292844172104754,0.0673259353926532,0.02764390980989256,0.06737636666195163,0.019291409352876713
spot122,0.20735589016353712,0.06610872408943888,0.11103210895121765,0.22536500944399548,0.1961571419945259,0.054412172130200345,0.026067493705142785,0.07963532938469899,0.03386613013724281
spot123,0.18212626300695672,0.04295015632248988,0.08107128557693191,0.2795375294629929,0.2316872783499306,0.0581206586118701,0.04137076193587611,0.06248937277532119,0.020646693957630524
spot124,0.20059050760664762,0.08136552322347142,0.0856812697834817,0.2348218332682031,0.20461745328491068,0.06069661526132305,0.043315806766216935,0.0666365048034915,0.02227448600225403
spot125,0.17957100256975714,0.05183502867919412,0.07841881846782334,0.2809734971629706,0.22005078002965786,0.05534062652359682,0.0398911963782595,0.06964418254604991,0.024274867642690677
spot126,0.1818364261290904,0.042771933138317196,0.09646542980718405,0.29007119008484394,0.21074362106404465,0.058247131589434446,0.026948136979493418,0.06938335927250762,0.023532771935084174
spot127,0.17321294241438123,0.036135730765798034,0.07410236419589195,0.34456593017247367,0.23468715586155253,0.04263545736694476,0.022134719883062367,0.056330320708661674,0.016195378631233895
